id;date;details;sent_date;format;user_id;product_id
1;2019-10-09T11:30:15;Directives application Home Loan Account;2019-10-09T16:44:55;SMS;60111;14286
2;2019-10-09T03:29:58;Movies Producer;2019-10-09T00:30:53;PARCEL;30424;61165
3;2019-10-09T07:53:56;web-readiness;2019-10-09T13:30:13;EMAIL;29214;97375
4;2019-10-09T11:42:02;Common;2019-10-09T01:38:56;SMS;59241;46676
5;2019-10-09T19:22:42;Credit Card Account Table Small Frozen Sausages;2019-10-08T21:19:05;SMS;9767;23089
6;2019-10-09T04:04:18;infomediaries;2019-10-09T17:33:51;SMS;90932;39106
7;2019-10-09T14:16:56;invoice;2019-10-09T13:00:43;EMAIL;18485;3131
8;2019-10-08T21:13:24;connect Markets Chief;2019-10-09T06:08:37;PARCEL;4522;96117
9;2019-10-09T12:41:07;scale interactive generating;2019-10-09T11:55:52;EMAIL;80219;16526
10;2019-10-09T18:42:14;Administrator;2019-10-09T01:57:34;EMAIL;81546;19884
